,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,264,66,116,56,24809,38,2023-05-28T08:12:49.051292Z
1,319,61,66,56,24809,37,2023-05-19T19:27:05.961146Z
2,332,52,302,55,24809,37,2023-05-19T19:27:05.953615Z
3,303,74,305,72,24809,36,2023-05-13T02:15:42.635566Z
4,116,56,107,52,24809,36,2023-05-13T02:15:42.629228Z
5,558,38,332,51,24809,35,2023-05-05T22:49:54.299563Z
6,66,56,237,40,24809,33,2023-04-25T16:57:26.767415Z
7,586,48,284,68,24809,33,2023-04-25T16:57:26.767165Z
8,548,38,102,39,24809,33,2023-04-25T16:57:26.766882Z
9,237,40,66,56,24809,33,2023-04-25T16:21:15.955568Z
10,107,52,464,55,24809,33,2023-04-25T16:21:15.955310Z
11,284,68,586,48,24809,33,2023-04-25T16:21:15.954939Z
12,66,56,596,46,24809,33,2023-04-25T05:02:25.588726Z
13,594,68,427,115,24809,33,2023-04-25T05:02:25.588522Z
14,464,55,169,56,24809,33,2023-04-25T05:02:25.588226Z
15,305,72,19,69,24809,33,2023-04-25T05:02:25.587980Z
16,124,56,13,84,24809,33,2023-04-25T05:02:25.587674Z
17,335,71,7,65,24809,33,2023-04-25T05:02:25.587307Z
18,302,55,558,38,24809,33,2023-04-25T05:02:25.586921Z
19,332,51,377,45,24809,33,2023-04-25T05:02:25.586582Z
20,285,75,199,42,24809,33,2023-04-25T05:02:25.586231Z
21,102,39,254,39,24809,33,2023-04-25T05:02:25.585858Z
22,327,50,133,46,24809,33,2023-04-25T05:02:25.585408Z
23,169,56,124,56,24809,32,2023-04-21T17:28:28.440053Z
24,19,69,335,69,24809,32,2023-04-21T04:05:34.245331Z
25,283,128,333,96,24809,31,2023-04-15T00:31:02.229843Z
26,377,45,332,51,24809,30,2023-04-08T02:12:26.363371Z
27,586,48,10,47,24809,29,2023-03-31T23:23:21.071861Z
28,333,96,301,120,24809,29,2023-03-31T23:21:03.905553Z
29,40,74,690,76,24809,28,2023-03-17T16:59:40.356043Z
30,594,66,80,78,24809,28,2023-03-17T16:59:40.355849Z
31,428,116,369,55,24809,28,2023-03-17T16:59:40.355652Z
32,133,47,376,54,24809,28,2023-03-17T16:59:40.355449Z
33,548,38,254,40,24809,28,2023-03-17T16:59:40.355200Z
34,690,76,596,46,24809,28,2023-03-17T03:24:52.157954Z
35,80,78,318,118,24809,28,2023-03-17T03:24:52.157678Z
36,369,55,335,70,24809,28,2023-03-17T03:24:52.157444Z
37,246,53,301,120,24809,28,2023-03-17T03:24:52.157205Z
38,261,82,124,55,24809,28,2023-03-17T03:24:52.156977Z
39,146,58,332,51,24809,28,2023-03-17T03:24:52.156701Z
40,139,59,199,43,24809,28,2023-03-17T03:24:52.156463Z
41,16,52,10,47,24809,28,2023-03-17T03:24:52.156219Z
42,376,54,133,46,24809,28,2023-03-17T03:24:52.155922Z
43,124,55,346,44,24809,27,2023-03-10T18:35:15.055934Z
44,596,46,11,68,24809,26,2023-03-04T05:58:45.858673Z
45,13,85,680,78,24809,26,2023-03-04T05:58:45.852424Z
46,680,78,303,77,24809,25,2023-02-24T15:27:53.558208Z
47,199,44,358,46,24809,25,2023-02-24T15:27:53.555783Z
48,11,68,619,50,24809,23,2023-02-11T01:24:06.848508Z
49,303,77,333,99,24809,23,2023-02-11T01:24:06.844666Z
50,619,50,210,70,24809,22,2023-02-03T00:51:47.785485Z
51,333,99,116,54,24809,22,2023-02-03T00:51:47.784910Z
52,558,39,343,38,24809,22,2023-02-03T00:51:47.784339Z
53,358,46,306,71,24809,22,2023-02-03T00:51:47.777794Z
54,427,116,297,89,24809,20,2023-01-13T17:54:29.679591Z
55,116,54,446,79,24809,20,2023-01-13T17:54:29.673765Z
56,210,71,345,67,24809,19,2023-01-02T08:23:31.728484Z
57,332,50,146,57,24809,19,2023-01-02T08:23:31.721608Z
58,343,38,558,39,24809,17,2022-12-26T04:10:37.300097Z
59,10,47,270,42,24809,17,2022-12-26T04:10:37.294469Z
60,345,67,28,80,24809,17,2022-12-26T04:02:11.473010Z
61,446,80,246,55,24809,17,2022-12-26T04:02:11.472572Z
62,335,67,160,73,24809,17,2022-12-26T04:02:11.472063Z
63,7,64,111,70,24809,17,2022-12-26T04:02:11.471615Z
64,146,58,268,43,24809,17,2022-12-26T04:02:11.471226Z
65,558,39,106,46,24809,17,2022-12-26T04:02:11.470676Z
66,270,42,26,52,24809,17,2022-12-26T04:02:11.470164Z
67,133,45,81,45,24809,17,2022-12-26T04:02:11.466051Z
68,297,90,356,73,24809,16,2022-11-12T02:05:19.047718Z
69,301,125,283,127,24809,15,2022-11-05T04:31:39.966408Z
70,26,52,146,59,24809,14,2022-10-29T02:01:23.893944Z
71,28,80,54,43,24809,13,2022-10-21T21:53:13.561583Z
72,111,69,261,80,24809,12,2022-10-18T16:50:34.752218Z
73,283,127,301,123,24809,12,2022-10-18T00:27:23.933057Z
74,106,46,285,73,24809,11,2022-10-14T17:22:01.929404Z
75,346,46,45,47,24809,11,2022-10-11T01:08:35.147238Z
76,356,72,210,69,24809,9,2022-10-01T03:59:12.839363Z
77,45,47,346,46,24809,9,2022-10-01T03:59:12.838862Z
78,54,43,66,57,24809,9,2022-10-01T03:48:00.921323Z
79,301,123,428,117,24809,9,2022-10-01T03:41:05.352612Z
80,66,57,594,70,24809,9,2022-09-29T20:04:15.526393Z
81,210,69,28,80,24809,9,2022-09-29T20:04:15.526162Z
82,346,46,311,69,24809,9,2022-09-29T20:04:15.525921Z
83,428,117,169,55,24809,9,2022-09-29T20:04:15.525670Z
84,160,72,19,63,24809,9,2022-09-29T20:04:15.525440Z
85,268,43,112,51,24809,9,2022-09-29T20:04:15.525207Z
86,146,60,26,48,24809,9,2022-09-29T20:04:15.524955Z
87,81,45,113,46,24809,9,2022-09-29T20:04:15.524626Z
88,261,79,428,117,24809,9,2022-09-18T18:54:21.038131Z
89,26,48,217,45,24809,9,2022-09-18T18:54:21.037019Z
90,594,70,219,45,24809,8,2022-09-16T17:15:05.246146Z
91,428,117,283,129,24809,8,2022-09-16T17:15:05.242607Z
92,311,69,293,81,24809,6,2022-09-03T00:20:12.052646Z
93,112,51,299,50,24809,5,2022-08-30T14:07:50.995950Z
94,306,71,146,60,24809,5,2022-08-30T14:07:50.992231Z
95,293,80,303,78,24809,4,2022-08-26T02:08:09.759715Z
96,169,55,368,65,24809,3,2022-08-19T22:33:50.764074Z
